0,1,2,3,4,5,6,7,8,9,10
other vegetables,candy,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
meat,soda,cream cheese ,,,,,,,,
pork,dessert,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
rolls/buns,chocolate,,,,,,,,,
cat food,yogurt,bottled beer,pastry,,,,,,,
rolls/buns,frozen vegetables,roll products ,,,,,,,,
whole milk,pip fruit,whipped/sour cream,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
margarine,whole milk,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
root vegetables,chewing gum,,,,,,,,,
pastry,white bread,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,brown bread,soda,,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
frankfurter,frankfurter,grapes,brown bread,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
grapes,rolls/buns,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
whole milk,whipped/sour cream,newspapers,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
root vegetables,pastry,,,,,,,,,
sausage,yogurt,,,,,,,,,
semi-finished bread,cereals,,,,,,,,,
curd,other vegetables,shopping bags,,,,,,,,
pip fruit,chocolate,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
meat,other vegetables,,,,,,,,,
liver loaf,margarine,cat food,,,,,,,,
whipped/sour cream,coffee,shopping bags,,,,,,,,
sausage,pastry,ice cream,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
whole milk,cat food,,,,,,,,,
butter,oil,,,,,,,,,
onions,candy,,,,,,,,,
soda,soda,cereals,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
canned beer,bottled water,,,,,,,,,
cream cheese ,white bread,,,,,,,,,
pork,tropical fruit,,,,,,,,,
